Package,LibPath,Version,Priority,Built
mcmc,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9-6,NA,3.5.2
MCMCglmm,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.29,NA,3.5.2
MCMCpack,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4-4,NA,3.5.0
memoise,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.0,NA,3.5.0
metaAidR,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.0.0.9000,NA,3.5.2
metaDigitise,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
metafor,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.1-0,NA,3.5.2
metaRNASeq,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.2,NA,3.5.0
methods,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.3,base,3.5.3
mgcv,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8-28,recommended,3.5.2
microdemic,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4.0,NA,3.5.0
mime,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.6,NA,3.5.0
miniUI,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.1.1,NA,3.5.0
minqa,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.4,NA,3.5.0
miscF,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-4,NA,3.5.0
mlr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.14.0,NA,3.5.2
mnormt,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5-5,NA,3.5.0
modelr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.4,NA,3.5.2
modeltools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2-22,NA,3.5.0
multcomp,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4-10,NA,3.5.2
multtest,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.38.0,NA,3.5.1
munsell,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.0,NA,3.5.0
mvtnorm,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-10,NA,3.5.2
NADA,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.6-1,NA,3.5.0
ncdf4,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.16.1,NA,3.5.2
networkD3,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4,NA,3.5.0
nleqslv,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.3.2,NA,3.5.0
nlme,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.1-140,recommended,3.5.2
nloptr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.1,NA,3.5.0
NLP,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2-0,NA,3.5.0
nnet,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,7.3-12,recommended,3.5.3
numDeriv,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2016.8-1.1,NA,3.5.3
nycflights13,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
officer,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.4,NA,3.5.2
openssl,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4,NA,3.5.2
openxlsx,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.1.0.1,NA,3.5.2
optparse,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.6.2,NA,3.5.2
orca,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1-1,NA,3.5.0
packrat,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.0,NA,3.5.0
parallel,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.3,base,3.5.3
parallelMap,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4,NA,3.5.2
ParamHelpers,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.12,NA,3.5.2
pbkrtest,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4-7,NA,3.5.0
pcaPP,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.9-73,NA,3.5.0
pdftools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.2,NA,3.5.2
performance,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.0,NA,3.5.2
permute,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9-5,NA,3.5.2
phangorn,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.5.3,NA,3.5.2
phyloseq,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.26.1,NA,3.5.2
pillar,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.1,NA,3.5.2
pkgbuild,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.3,NA,3.5.2
pkgconfig,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.2,NA,3.5.0
pkgload,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.2,NA,3.5.0
plogr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.0,NA,3.5.0
plotly,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.9.0,NA,3.5.2
pls,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.7-1,NA,3.5.2
plyr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8.4,NA,3.5.0
png,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-7,NA,3.5.0
polyclip,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.10-0,NA,3.5.2
polynom,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4-0,NA,3.5.2
prabclus,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.3-1,NA,3.5.2
prettyGraphs,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.1.6,NA,3.5.0
prettyunits,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.2,NA,3.5.0
processx,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.3.1,NA,3.5.2
progress,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.2,NA,3.5.2
promises,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.1,NA,3.5.0
propr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.1.1,NA,3.5.0
ps,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.0,NA,3.5.0
pspearman,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3-0,NA,3.5.0
psych,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8.12,NA,3.5.2
purrr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.2,NA,3.5.2
qap,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-1,NA,3.5.0
qpdf,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1,NA,3.5.2
quadprog,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5-7,NA,3.5.2
quantreg,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,5.40,NA,3.5.2
R.methodsS3,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.7.1,NA,3.5.0
R.oo,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.22.0,NA,3.5.0
R.utils,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.8.0,NA,3.5.2
R2jags,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5-7,NA,3.5.0
R2WinBUGS,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.1-21,NA,3.5.0
R6,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.4.0,NA,3.5.2
ranger,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.11.2,NA,3.5.2
rappdirs,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.1,NA,3.5.0
raster,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.9-5,NA,3.5.2
rcmdcheck,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.3,NA,3.5.2
RColorBrewer,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1-2,NA,3.5.0
Rcpp,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.1,NA,3.5.2
RcppArmadillo,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9.400.3.0,NA,3.5.2
RcppEigen,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.3.5.0,NA,3.5.0
RcppParallel,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.4.3,NA,3.5.2
rcrossref,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9.2,NA,3.5.2
RCurl,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.95-4.12,NA,3.5.2
readr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.1,NA,3.5.0
readxl,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.1,NA,3.5.2
registry,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5-1,NA,3.5.2
rematch,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.1,NA,3.5.0
remotes,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.4,NA,3.5.2
rentrez,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.2,NA,3.5.2
reprex,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.0,NA,3.5.2
rerddap,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.6.0,NA,3.5.3
reshape,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8.8,NA,3.5.0
reshape2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.3,NA,3.5.0
reticulate,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.12,NA,3.5.2
revtools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.0,NA,3.5.0
rgdal,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4-4,NA,3.5.2
rgeos,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4-3,NA,3.5.2
rhdf5,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.26.2,NA,3.5.2
Rhdf5lib,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.3,NA,3.5.3
rio,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.16,NA,3.5.0
rjags,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4-8,NA,3.5.0
rjson,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.20,NA,3.5.0
rlang,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.4,NA,3.5.2
rmarkdown,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.13,NA,3.5.2
rncl,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8.3,NA,3.5.0
robCompositions,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.1.0,NA,3.5.2
robustbase,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.93-5,NA,3.5.2
rotl,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.0.7,NA,3.5.2
rpart,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.1-15,recommended,3.5.2
rplos,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8.6,NA,3.5.2
rprojroot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-2,NA,3.5.0
rrcov,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4-7,NA,3.5.0
RRPP,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4.2,NA,3.5.2
Rsamtools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.34.1,NA,3.5.2
rsconnect,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8.13,NA,3.5.2
rstan,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.18.2,NA,3.5.0
rstantools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5.1,NA,3.5.0
rstudioapi,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.10,NA,3.5.2
Rttf2pt1,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.7,NA,3.5.0
RVAideMemoire,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9-73,NA,3.5.2
rvest,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.4,NA,3.5.2
rvg,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.0,NA,3.5.2
S4Vectors,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.20.1,NA,3.5.1
sandwich,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.5-1,NA,3.5.2
scales,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
scatterplot3d,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3-41,NA,3.5.0
selectr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4-1,NA,3.5.0
seriation,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2-6,NA,3.5.2
sessioninfo,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.1,NA,3.5.0
sf,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7-4,NA,3.5.2
shape,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.4,NA,3.5.0
shiny,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.2,NA,3.5.2
shinydashboard,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7.1,NA,3.5.0
shinyjs,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0,NA,3.5.0
shinystan,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.5.0,NA,3.5.0
shinythemes,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.2,NA,3.5.0
shinyWidgets,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4.8,NA,3.5.2
ShortRead,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.40.0,NA,3.5.1
sjlabelled,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.0,NA,3.5.3
sjmisc,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.7.9,NA,3.5.2
sjPlot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.6.3,NA,3.5.2
sjstats,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.17.5,NA,3.5.2
slam,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-45,NA,3.5.2
snow,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4-3,NA,3.5.0
SnowballC,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.6.0,NA,3.5.2
solrium,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.2,NA,3.5.0
sourcetools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.7,NA,3.5.0
sp,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-1,NA,3.5.0
SparseM,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.77,NA,3.5.0
spatial,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,7.3-11,recommended,3.5.3
splines,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.3,base,3.5.3
splus2R,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2-2,NA,3.5.0
sROC,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-2,NA,3.5.0
StanHeaders,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.18.1,NA,3.5.2
statmod,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.32,NA,3.5.2
stats,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.3,base,3.5.3
stats4,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.3,base,3.5.3
storr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.1,NA,3.5.0
stringdist,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9.5.1,NA,3.5.0
stringi,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.3,NA,3.5.2
stringr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.0,NA,3.5.2
SummarizedExperiment,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.12.0,NA,3.5.1
superheat,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.0,NA,3.5.0
survival,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.44-1.1,recommended,3.5.2
sys,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.2,NA,3.5.2
tcltk,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.3,base,3.5.3
tensorA,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.36.1,NA,3.5.0
tensorflow,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.13.1,NA,3.5.2
tfruns,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4,NA,3.5.0
TH.data,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-10,NA,3.5.2
threejs,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.1,NA,3.5.0
tibble,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.1.3,NA,3.5.3
tidyr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8.3,NA,3.5.2
tidyselect,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.5,NA,3.5.0
tidyverse,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.1,NA,3.5.0
tinytex,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.13,NA,3.5.2
tm,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7-6,NA,3.5.0
TMB,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.7.15,NA,3.5.0
tools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.3,base,3.5.3
topicmodels,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2-8,NA,3.5.0
tree,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-39,NA,3.5.0
treebase,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.4,NA,3.5.0
triebeard,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.0,NA,3.5.0
trimcluster,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-2.1,NA,3.5.0
truncnorm,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0-8,NA,3.5.0
trust,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-7,NA,3.5.0
TSP,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1-7,NA,3.5.2
tweenr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.1,NA,3.5.0
units,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.6-3,NA,3.5.2
updateR,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1,NA,3.5.2
UpSetR,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.0,NA,3.5.2
urltools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.7.3,NA,3.5.2
usdm,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1-18,NA,3.5.0
usethis,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5.0,NA,3.5.2
utf8,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.4,NA,3.5.0
utils,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.3,base,3.5.3
uuid,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-2,NA,3.5.0
vcd,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4-4,NA,3.5.0
vctrs,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.0,NA,3.5.0
vegan,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.5-5,NA,3.5.2
VennDiagram,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.6.20,NA,3.5.0
VIM,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.8.0,NA,3.5.2
viridis,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.1,NA,3.5.0
viridisLite,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.0,NA,3.5.0
vroom,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.1,NA,3.5.2
webshot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.1,NA,3.5.0
wesanderson,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.6,NA,3.5.0
whisker,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3-2,NA,3.5.0
withr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.1.2,NA,3.5.0
xfun,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7,NA,3.5.2
XML,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.98-1.20,NA,3.5.3
xml2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.0,NA,3.5.0
xopen,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
xtable,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8-4,NA,3.5.2
xts,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.11-2,NA,3.5.0
XVector,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.22.0,NA,3.5.1
yaml,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.2.0,NA,3.5.0
zCompositions,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.2,NA,3.5.2
zeallot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.0,NA,3.5.0
zip,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.2,NA,3.5.2
zlibbioc,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.28.0,NA,3.5.1
zoo,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8-6,NA,3.5.2
